Font supports language ,guw_Latn,  Gun),
Font supports language ,gux_Latn,  Gourmanchéma),
Font supports language ,guz_Latn,  Gusii),
Font supports language ,gv_Latn,  Manx),
Font supports language ,gwd_Latn,  Gawwada),
Font supports language ,gwi_Latn,  Gwichʼin),
Font supports language ,gyi_Latn,  Gyele),
Font supports language ,ha_Latn,  Hausa),
Font supports language ,hag_Latn,  Hanga),
Font supports language ,har_Latn,  Harari),
Font supports language ,haw_Latn,  Hawaiian),
Font supports language ,hdy_Latn,  Hadiyya),
Font supports language ,hi_Deva,  Hindi),
Font supports language ,hia_Latn,  Lamang),
Font supports language ,hig_Latn,  Kamwe),
Font supports language ,hil_Latn,  Hiligaynon),
Font supports language ,hmn_Latn,  Hmong),
Font supports language ,hop_Latn,  Hopi),
Font supports language ,hr_Latn,  Croatian),
Font supports language ,hsb_Latn,  Upper Sorbian),
Font supports language ,ht_Latn,  Haitian Creole),
Font supports language ,hu_Latn,  Hungarian),
Font supports language ,hz_Latn,  Herero),
Font supports language ,ia_Latn,  Interlingua),
Font supports language ,ibb_Latn,  Ibibio),
Font supports language ,iby_Latn,  Ibani),
Font supports language ,ica_Latn,  Ede Ica),
Font supports language ,ich_Latn,  Etkywan),
Font supports language ,id_Latn,  Indonesian),
Font supports language ,idd_Latn,  Ede Idaca),
Font supports language ,idu_Latn,  Idoma),
Font supports language ,ige_Latn,  Igede),
Font supports language ,ijj_Latn,  Ede Ije),
Font supports language ,ikk_Latn,  Ika),
Font supports language ,ikx_Latn,  Ik),
Font supports language ,ilo_Latn,  Iloko),
Font supports language ,iqw_Latn,  Ikwo),
Font supports language ,iri_Latn,  Rigwe),
Font supports language ,irk_Latn,  Iraqw),
Font supports language ,is_Latn,  Icelandic),
Font supports language ,ish_Latn,  Esan),
Font supports language ,it_Latn,  Italian),
Font supports language ,izr_Latn,  Izere),
Font supports language ,izz_Latn,  Izii),
Font supports language ,jab_Latn,  Hyam),
Font supports language ,jam_Latn,  Jamaican Creole English),
Font supports language ,jbu_Latn,  Jukun Takum),
Font supports language ,jen_Latn,  Dza),
Font supports language ,jgk_Latn,  Gwak),
Font supports language ,jib_Latn,  Jibu),
Font supports language ,jmc_Latn,  Machame),
Font supports language ,jv_Latn,  Javanese),
Font supports language ,kab_Latn,  Kabyle),
Font supports language ,kad_Latn,  Adara),
Font supports language ,kai_Latn,  Karekare),
Font supports language ,kaj_Latn,  Jju),
Font supports language ,kam_Latn,  Kamba),
Font supports language ,kao_Latn,  Xaasongaxango),
Font supports language ,kbp_Latn,  Kabiyé),
Font supports language ,kby_Latn,  Kanuri, Manga)
Font supports language ,kck_Latn,  Kalanga),
Font supports language ,kdc_Latn,  Kutu),
Font supports language ,kde_Latn,  Makonde),
Font supports language ,kdh_Latn,  Tem),
Font supports language ,kdl_Latn,  Tsikimba),
Font supports language ,kea_Latn,  Kabuverdianu),
Font supports language ,ken_Latn,  Kenyang),
Font supports language ,keu_Latn,  Akebu),
Font supports language ,kez_Latn,  Kukele),
Font supports language ,kg_Latn,  Kongo),
Font supports language ,kgp_Latn,  Kaingang),
Font supports language ,kha_Latn,  Khasi),
Font supports language ,khq_Latn,  Koyra Chiini),
Font supports language ,ki_Latn,  Kikuyu),
Font supports language ,kia_Latn,  Kim),
Font supports language ,kiu_Latn,  Kirmanjki),
Font supports language ,kj_Latn,  Kuanyama),
Font supports language ,kl_Latn,  Kalaallisut),
Font supports language ,kln_Latn,  Kalenjin),
Font supports language ,kmb_Latn,  Kimbundu),
Font supports language ,kmy_Latn,  Koma),
Font supports language ,knc_Latn,  Kanuri, Central)
Font supports language ,knf_Latn,  Mankanya),
Font supports language ,knp_Latn,  Kwanja),
Font supports language ,kok_Deva,  Konkani),
Font supports language ,koo_Latn,  Konjo),
Font supports language ,kpo_Latn,  Ikposo),
Font supports language ,kpz_Latn,  Sapiny),
Font supports language ,kqn_Latn,  Kaonde),
Font supports language ,kqp_Latn,  Kimré),
Font supports language ,kqs_Latn,  Kissi, Northern)
Font supports language ,kr_Latn,  Kanuri),
Font supports language ,kri_Latn,  Krio),
Font supports language ,krl_Latn,  Karelian),
Font supports language ,krs_Latn,  Gbaya, Sudan)
Font supports language ,ksb_Latn,  Shambala),
Font supports language ,ksh_Latn,  Colognian),
Font supports language ,ktj_Latn,  Krumen, Plapo)
Font supports language ,ktu_Latn,  Kituba),
Font supports language ,ktz_Latn,  Juǀʼhoan),
Font supports language ,ku_Latn,  Kurdish  Latin)),
Font supports language ,kub_Latn,  Kutep),
Font supports language ,kuj_Latn,  Kuria),
Font supports language ,kun_Latn,  Kunama),
Font supports language ,kus_Latn,  Kusaal),
Font supports language ,kvf_Latn,  Kabalai),
Font supports language ,kw_Latn,  Cornish),
Font supports language ,kye_Latn,  Krache),
Font supports language ,kyf_Latn,  Kouya),
Font supports language ,la_Latn,  Latin),
Font supports language ,lag_Latn,  Langi),
Font supports language ,laj_Latn,  Lango, Uganda)
Font supports language ,lam_Latn,  Lamba),
Font supports language ,las_Latn,  Lama, Togo)
Font supports language ,lb_Latn,  Luxembourgish),
Font supports language ,ldb_Latn,  Duya),
Font supports language ,led_Latn,  Lendu),
Font supports language ,lem_Latn,  Nomaande),
Font supports language ,les_Latn,  Lese),
Font supports language ,lg_Latn,  Ganda),
Font supports language ,lia_Latn,  Limba, West-Central)
Font supports language ,lig_Latn,  Ligbi),
Font supports language ,lij_Latn,  Ligurian),
Font supports language ,lip_Latn,  Sekpele),
Font supports language ,lkt_Latn,  Lakota),
Font supports language ,lln_Latn,  Lele),
Font supports language ,lmo_Latn,  Lombard),
Font supports language ,lmp_Latn,  Limbum),
Font supports language ,lns_Latn,  Lamnso’),
Font supports language ,lnu_Latn,  Longuda),
Font supports language ,log_Latn,  Logo),
Font supports language ,lok_Latn,  Loko),
Font supports language ,lor_Latn,  Téén),
Font supports language ,lot_Latn,  Otuho),
Font supports language ,loz_Latn,  Lozi),
Font supports language ,lt_Latn,  Lithuanian),
Font supports language ,ltg_Latn,  Latgalian),
Font supports language ,lua_Latn,  Luba-Lulua),
Font supports language ,lue_Latn,  Luvale),
Font supports language ,lun_Latn,  Lunda),
Font supports language ,luo_Latn,  Luo),
Font supports language ,luy_Latn,  Luyia),
Font supports language ,lv_Latn,  Latvian),
Font supports language ,lwo_Latn,  Luwo),
Font supports language ,mad_Latn,  Madurese),
Font supports language ,maf_Latn,  Mafa),
Font supports language ,mag_Deva,  Magahi),
Font supports language ,mai_Deva,  Maithili),
Font supports language ,mam_Latn,  Mam),
Font supports language ,mam_Latn_MX,  Mexican Mam),
Font supports language ,man_Latn,  Mandingo),
Font supports language ,maw_Latn,  Mampruli),
Font supports language ,mbo_Latn,  Mbo),
Font supports language ,mbu_Latn,  Mbula-Bwazza),
Font supports language ,mcn_Latn,  Masana),
Font supports language ,mcu_Latn,  Mambila, Cameroon)
Font supports language ,mda_Latn,  Mada),
Font supports language ,mdj_Latn,  Mangbetu),
Font supports language ,men_Latn,  Mende),
Font supports language ,meq_Latn,  Merey),
Font supports language ,mer_Latn,  Meru),
Font supports language ,mey_Latn,  Hassaniyya),
Font supports language ,mfd_Latn,  Mendankwe-Nkwen),
Font supports language ,mfe_Latn,  Morisyen),
Font supports language ,mfi_Latn,  Wandala),
Font supports language ,mfn_Latn,  Mbembe, Cross River)
Font supports language ,mfo_Latn,  Mbe),
Font supports language ,mfq_Latn,  Moba),
Font supports language ,mfv_Latn,  Mandjak),
Font supports language ,mg_Latn,  Malagasy),
Font supports language ,mgc_Latn,  Morokodo),
Font supports language ,mgh_Latn,  Makhuwa-Meetto),
Font supports language ,mh_Latn,  Marshallese),
Font supports language ,mi_Latn,  Maori),
Font supports language ,mic_Latn,  Mi,kmaq)
Font supports language ,min_Latn,  Minangkabau),
Font supports language ,mkl_Latn,  Mokole),
Font supports language ,mls_Latn,  Masalit),
Font supports language ,mmu_Latn,  Mmaala),
Font supports language ,mne_Latn,  Naba),
Font supports language ,mnk_Latn,  Mandinka),
Font supports language ,moa_Latn,  Mwan),
Font supports language ,moe_Latn,  Innu),
Font supports language ,moh_Latn,  Mohawk),
Font supports language ,mor_Latn,  Moro),
Font supports language ,mos_Latn,  Mossi),
Font supports language ,mqb_Latn,  Mbuko),
Font supports language ,mql_Latn,  Mbelime),
Font supports language ,mr_Deva,  Marathi),
Font supports language ,msc_Latn,  Maninka, Sankaran)
Font supports language ,mt_Latn,  Maltese),
Font supports language ,mua_Latn,  Mundang),
Font supports language ,muh_Latn,  Mündü),
Font supports language ,mur_Latn,  Murle),
Font supports language ,mus_Latn,  Muscogee),
Font supports language ,muy_Latn,  Muyang),
Font supports language ,mwk_Latn,  Kita Maninkakan),
Font supports language ,mwl_Latn,  Mirandese),
Font supports language ,mxc_Latn,  Manyika),
Font supports language ,mym_Latn,  Me’en),
Font supports language ,myx_Latn,  Masaaba),
